Date,Open,High,Low,Close,Adj Close,Volume
2017-08-04,86.17,86.58,85.97,86.48,60.59,2599600
2017-08-07,86.46,86.55,86.0,86.26,60.43,2026400
2017-08-08,86.1,86.61,86.01,86.6,60.67,2045800
2017-08-09,86.76,86.9,86.01,86.2,60.39,2115400
2017-08-10,86.2,86.6,85.76,86.39,60.52,2140900
2017-08-11,86.47,86.47,85.16,85.7,60.04,2516800
2017-08-14,85.82,86.27,85.64,86.12,60.33,2473800
2017-08-15,85.91,86.97,85.89,86.89,60.87,1876300
2017-08-16,85.97,86.37,85.71,86.31,61.09,1804200
2017-08-17,86.31,86.45,85.8,85.87,60.78,2055000
2017-08-18,85.75,86.83,85.61,86.38,61.14,2853800
2017-08-21,86.5,86.68,86.16,86.58,61.28,2090600
2017-08-22,86.58,86.71,86.11,86.55,61.26,1719800
2017-08-23,86.57,86.99,86.14,86.88,61.5,1931900
2017-08-24,86.74,87.12,86.57,86.77,61.42,1984900
2017-08-25,87.39,87.55,86.97,87.23,61.74,1708900
2017-08-28,87.37,87.5,86.97,87.42,61.88,1185400
2017-08-29,87.55,87.95,87.33,87.5,61.94,1828300
2017-08-30,87.32,87.58,87.07,87.28,61.78,1425100
2017-08-31,87.38,87.53,87.22,87.3,61.79,2188300
2017-09-01,87.48,87.55,86.73,87.09,61.65,1364000
2017-09-05,87.2,87.53,86.79,87.41,61.87,1910400
2017-09-06,87.52,87.62,86.81,86.99,61.58,1978900
2017-09-07,87.09,87.56,86.87,87.34,61.82,1943800
2017-09-08,87.37,88.03,87.21,87.78,62.13,1938300
2017-09-11,87.64,88.4,87.47,88.34,62.53,1674700
2017-09-12,88.3,88.34,86.72,87.28,61.78,2900200
2017-09-13,87.22,87.24,86.66,86.77,61.42,2544800
2017-09-14,86.74,87.58,86.53,87.5,61.94,2755900
2017-09-15,87.5,87.78,86.82,87.3,61.79,6419300
2017-09-18,87.3,87.31,85.53,86.06,60.92,2868200
2017-09-19,86.06,86.27,85.88,85.98,60.86,1954300
2017-09-20,86.21,86.25,84.86,85.2,60.31,2982700
2017-09-21,85.22,85.66,85.0,85.16,60.28,2456100
2017-09-22,85.36,85.4,84.22,84.25,59.64,1799200
2017-09-25,84.25,85.14,84.24,85.14,60.27,2117300
2017-09-26,85.04,85.16,84.69,84.82,60.04,1570600
2017-09-27,84.4,84.6,83.52,83.94,59.42,2318900
2017-09-28,83.65,84.5,83.4,84.26,59.64,2365800
2017-09-29,84.13,84.22,83.6,83.92,59.4,2384500
2017-10-02,84.07,84.62,83.78,84.36,59.71,2601100
2017-10-03,84.2,84.23,83.52,83.85,59.35,1926600
2017-10-04,83.9,84.48,83.65,84.47,59.79,3088800
2017-10-05,84.56,84.72,84.14,84.29,59.66,2060300
2017-10-06,84.01,84.74,83.8,84.64,59.91,2744500
2017-10-09,84.75,85.25,84.69,84.82,60.04,2720900
2017-10-10,85.0,85.88,84.8,85.79,60.73,1593100
2017-10-11,85.8,86.68,85.76,86.39,61.15,2235900
2017-10-12,86.45,87.07,86.4,86.97,61.56,2272900
2017-10-13,87.18,87.6,86.75,86.79,61.43,2073000
2017-10-16,86.7,87.15,86.42,87.13,61.67,1728700
2017-10-17,86.99,87.59,86.78,87.51,61.94,2355500
2017-10-18,87.34,87.46,86.51,87.04,61.61,1530600
2017-10-19,87.02,87.88,87.01,87.85,62.18,1672500
2017-10-20,87.73,88.06,87.52,87.93,62.24,2033600
2017-10-23,87.96,88.0,86.88,87.54,61.96,2609600
2017-10-24,87.65,88.06,87.34,87.99,62.28,2197800
2017-10-25,87.61,87.96,86.71,87.75,62.11,2268400
2017-10-26,88.12,88.55,87.35,87.36,61.84,2708400
2017-10-27,87.23,88.52,87.12,87.95,62.25,2059800
2017-10-30,87.78,88.2,87.68,88.11,62.37,2262300
2017-10-31,88.0,88.64,87.8,88.31,62.51,2666700
2017-11-01,88.56,88.56,87.56,87.86,62.19,2023900
2017-11-02,88.0,88.73,87.67,88.56,62.69,3518300
2017-11-03,88.28,89.5,88.16,88.52,62.66,2405200
2017-11-06,88.36,88.72,87.77,87.87,62.2,2557000
2017-11-07,88.08,89.43,87.61,89.36,63.25,2315000
2017-11-08,89.15,89.68,88.67,89.23,63.16,3057700
2017-11-09,89.06,89.74,88.91,89.63,63.44,2101600
2017-11-10,89.1,89.29,88.65,88.89,62.92,2216700
2017-11-13,89.06,90.22,88.98,89.88,63.62,2626600
2017-11-14,89.68,91.14,89.61,91.09,64.48,2713100
2017-11-15,91.38,91.8,90.42,90.58,64.12,3304400
2017-11-16,89.75,89.91,88.88,89.21,63.77,3205200
2017-11-17,88.86,89.28,88.45,88.52,63.28,2652700
2017-11-20,88.62,88.99,88.32,88.66,63.38,2558500
2017-11-21,88.76,89.2,88.66,88.81,63.49,2467000
2017-11-22,88.74,88.89,88.29,88.63,63.36,1653000
2017-11-24,88.82,89.08,88.64,88.78,63.47,936300
2017-11-27,88.89,89.02,88.41,88.88,63.54,3129300
2017-11-28,89.08,89.4,88.68,88.98,63.61,3013700
2017-11-29,88.77,89.35,88.32,89.0,63.62,2917800
2017-11-30,89.15,89.41,88.74,89.18,63.75,4393100
2017-12-01,89.39,89.72,88.19,88.73,63.43,3088500
2017-12-04,89.07,89.43,88.43,88.62,63.35,2552300
2017-12-05,88.71,88.75,87.45,87.96,62.88,3261300
2017-12-06,88.23,88.5,87.88,88.31,63.13,1970100
